item,exp,pronoun,cond,contrast,sent,target,/data/gpt2-medium_surp
24,1,she,m,Mismatch,"When she was abroad,",Craig,15.738723754882812
24,1,she,f,Match,"When she was abroad,",Martha,11.804773330688477
24,1,he,f,Mismatch,"When he was abroad,",Sandra,18.59885025024414
25,1,he,m,Match,"When he was discovered,",Walter,13.09024715423584
25,1,she,m,Mismatch,"When she was discovered,",Noah,15.5242919921875
25,1,she,f,Match,"When she was discovered,",Patricia,14.653261184692383
25,1,he,f,Mismatch,"When he was discovered,",Martha,14.759200096130371
26,1,he,m,Match,"When he was busy,",Rodney,17.298892974853516
26,1,she,m,Mismatch,"When she was busy, the",son,10.757823944091797
26,1,she,f,Match,"When she was busy,",Nancy,12.965557098388672
26,1,he,f,Mismatch,"When he was busy,",Heather,16.27663803100586
27,1,he,m,Match,"When he was twenty-one,",Joel,14.742209434509277
27,1,she,m,Mismatch,"When she was twenty-one,",Martin,12.07883358001709
27,1,she,f,Match,"When she was twenty-one,",Sara,11.730531692504883
27,1,he,f,Mismatch,"When he was twenty-one,",Jill,15.458593368530273
28,1,he,m,Match,"When he was annoyed,",Carl,12.958782196044922
28,1,she,m,Mismatch,"When she was annoyed,",Noah,15.798057556152344
28,1,she,f,Match,"When she was annoyed, the",daughter,10.247579574584961
28,1,he,f,Mismatch,"When he was annoyed,",Diane,16.033138275146484
29,1,he,m,Match,"When he was in church,",Vincent,15.181051254272461
29,1,she,m,Mismatch,"When she was in church,",Joel,14.122666358947754
29,1,she,f,Match,"When she was in church,",Patricia,15.122114181518555
29,1,he,f,Mismatch,"When he was in church,",Michelle,14.404845237731934
30,1,he,m,Match,"When he was banished,",Noah,12.495162963867188
30,1,she,m,Mismatch,"When she was banished,",Lawrence,14.747669219970703
30,1,she,f,Match,"When she was banished,",Carmen,15.752653121948242
30,1,he,f,Mismatch,"When he was banished,",Caroline,16.93214988708496
31,1,he,m,Match,"When he was angry,",Raymond,15.908870697021484
31,1,she,m,Mismatch,"When she was angry, the",son,11.412440299987793
31,1,she,f,Match,"When she was angry,",Heather,13.97283935546875
31,1,he,f,Mismatch,"When he was angry,",Michelle,15.739816665649414
32,1,he,m,Match,"When he was distraught,",Gerald,15.130836486816406
32,1,she,m,Mismatch,"When she was distraught, the",son,9.740619659423828
32,1,she,f,Match,"When she was distraught,",Rebecca,14.134178161621094
32,1,he,f,Mismatch,"When he was distraught,",Patricia,15.210592269897461
